Name,Latitude,Longitude
Power Source,3.756909,34.721472
Building,3.757087,34.720859
Building,3.75764,34.720846
Building,3.758094,34.72104
Building,3.757956,34.721343
Building,3.757511,34.721527
Building,3.75735,34.721817
Building,3.757732,34.722041
Building,3.757641,34.72276
Building,3.758327,34.722269
Building,3.758281,34.722546
Building,3.761517,34.722708
Building,3.761529,34.72248
Building,3.76158,34.723558
Building,3.762369,34.723099
Building,3.762319,34.723168
Building,3.762321,34.723055
Building,3.762347,34.723314
Building,3.762178,34.723276
Building,3.76249,34.723415
Building,3.762585,34.723547
Building,3.76246,34.723716
Building,3.762385,34.723846
Building,3.76224,34.723786
Building,3.76209,34.723691
Building,3.761978,34.723581
Building,3.762076,34.72342
Building,3.762817,34.723529
Building,3.761867,34.723791
Building,3.762019,34.723893
Building,3.762158,34.72398
Building,3.762315,34.724082
Building,3.76244,34.724203
Building,3.762362,34.724347
Building,3.762296,34.72454
Building,3.762153,34.724476
Building,3.762033,34.724353
Building,3.761919,34.724228
Building,3.761849,34.724082
Building,3.761785,34.723925
Building,3.762694,34.724322
Building,3.76283,34.724413
Building,3.762851,34.724583
Building,3.762767,34.724725
Building,3.762694,34.724877
Building,3.762533,34.724939
Building,3.762449,34.724517
Building,3.762521,34.724374
Building,3.76258,34.724226
Building,3.762396,34.724962
Building,3.762951,34.72465
Building,3.76279,34.724959
Building,3.762799,34.725116
Building,3.762985,34.725066
Building,3.763083,34.724932
Building,3.763174,34.72477
Building,3.763267,34.72465
Building,3.762758,34.725262
Building,3.763185,34.723537
Building,3.763276,34.723615
Building,3.76337,34.723542
Building,3.76343,34.723734
Building,3.763597,34.723816
Building,3.76371344766863,34.7237174518615
Building,3.76413011907575,34.7239329927975
Building,3.76446415286075,34.7247039460421
Building,3.76438317498526,34.7246593119069
Building,3.76429409931349,34.7246268507176
Building,3.7642090725274,34.7245862742311
Building,3.764138216866,34.7245375824472
Building,3.76406736119882,34.7245071500823
Building,3.7638873160662,34.7246748676561
Building,3.76395454506047,34.7247395824639
Building,3.76417303925998,34.7248264598779
Building,3.76426415220793,34.7248681255761
Building,3.76434553463882,34.7249018127363
Building,3.76380062604041,34.7249638680341
Building,3.76387758555425,34.7250117392619
Building,3.76395189128531,34.7250649295149
Building,3.76403769670494,34.7251048222046
Building,3.76366351424496,34.7250870921228
Building,3.76375551183887,34.7252138622292
Building,3.76391385382792,34.725319356231
Building,3.76399877465934,34.7253592489208
Building,3.76408458007435,34.7253955955937
Building,3.76348040361798,34.7254877920379
Building,3.76362459217986,34.7255055221222
Building,3.76370509007825,34.7255489608288
Building,3.76378647256138,34.7255977185608
Building,3.76386431666856,34.7256340652337
Building,3.76394569913682,34.7256730714192
Building,3.76536452423096,34.7245951140356
Building,3.76542192371548,34.7246327256594
Building,3.76527952883348,34.7248052966392
Building,3.76485786323114,34.7249103879442
Building,3.76494065099617,34.7249656991557
Building,3.76508966895337,34.7250486659729
Building,3.76516914518678,34.7251493323778
Building,3.76510622650261,34.7252455738857
Building,3.76497707761027,34.7252367240919
Building,3.76489980903306,34.7252079622619
Building,3.76473533732445,34.7251316327901
Building,3.7646834569804,34.725068578009
Building,3.76451277598566,34.7253676356749
Building,3.76459356041229,34.725388306087
Building,3.76474997279151,34.7254761553382
Building,3.7648393512813,34.7255054384219
Building,3.7648341948302,34.7256122355508
Building,3.76480497494016,34.7256794143899
Building,3.76464164618232,34.7256856557049
Building,3.76455666980408,34.7256434109137
Building,3.76561195889959,34.7248505265584
Building,3.7658093447252,34.724988660321
Building,3.76574511069943,34.7250161529628
Building,3.76588214018987,34.7254685765227
Building,3.76580282071287,34.7254267390942
Building,3.76572016146072,34.7253698401914
Building,3.76565420104176,34.7253213087743
Building,3.76556486223851,34.7252962063173
Building,3.76540789310095,34.725296206318
Building,3.76536447610131,34.7253648197007
Building,3.76536364115899,34.7254560252949
Building,3.76544964021394,34.7255087404548
Building,3.76553229949179,34.7255321694147
Building,3.76561579370384,34.7255823743289
Building,3.76569511319789,34.7256217015117
Building,3.76578027728079,34.725667722684
Building,3.76561993466694,34.7259495276585
Building,3.76555102868024,34.7259091369572
Building,3.76546002076492,34.7258635345525
Building,3.76538587169377,34.7258206262113
Building,3.76530691733135,34.7257824047336
Building,3.76523197759091,34.7257193728229
Building,3.76513763380137,34.7257716758977
Building,3.76510618586925,34.7258595182413
Building,3.76511020049894,34.7259634538386
Building,3.76527413119571,34.7260338618238
Building,3.76535643108489,34.7260714127493
Building,3.7654460911179,34.7261176808539
Building,3.76551634710748,34.7261693133764
Building,3.76540670241421,34.7263753951643
Building,3.76532373342501,34.7263183982238
Building,3.76525414652473,34.7262795061938
Building,3.76517519215038,34.7262473196863
Building,3.7652380880085,34.7265960068514
Building,3.76518322140911,34.726553091508
Building,3.76671544381547,34.7253786355255
Building,3.76658625054891,34.7254527692275
Building,3.76655707787315,34.7252721335873
Building,3.76631223573456,34.7252669129041
Building,3.76625701600867,34.7253441790161
Building,3.76611740385343,34.7255937276823
Building,3.76619658686819,34.725633404875
Building,3.76628306304713,34.7256741262043
Building,3.76635912040223,34.7257232006268
Building,3.76643413586925,34.7257524364529
Building,3.76651019321117,34.7257952460555
Building,3.76649352310939,34.7258965273104
Building,3.76646122478632,34.7259727492858
Building,3.76639246061061,34.7260312209381
Building,3.7663216126663,34.7259873671989
Building,3.76623201084615,34.7259466458696
Building,3.76616220477055,34.725900703857
Building,3.76608510551297,34.7258401439336
Building,3.76599654555044,34.7258046432875
Building,3.76585640466424,34.7260801507153
Building,3.76595409285518,34.7261136206581
